0 0
0.1 0
0.2 0
0.3 0
0.4 0
0.5 0
0.6 0
0.7 0
0.8 0
0.9 0
1 0
1.1 0
1.2 0
1.3 0
1.4 0
1.5 0
1.6 0
1.7 0
1.8 0
1.9 0
2 0.88
2.1 1.28
2.2 1.44
2.3 1.6
2.4 1.92
2.5 1.84
2.6 1.44
2.7 1.28
2.8 1.28
2.9 1.36
3 1.28
3.1 1.44
3.2 1.76
3.3 1.68
3.4 1.6
3.5 1.36
3.6 1.36
3.7 1.28
3.8 1.44
3.9 1.68
4 1.52
4.1 1.44
4.2 1.36
4.3 1.44
4.4 1.68
4.5 1.52
4.6 1.52
4.7 1.44
4.8 1.28
4.9 1.6
5 1.84
5.1 1.76
5.2 1.44
5.3 1.28
5.4 1.28
5.5 1.36
5.6 1.52
5.7 1.68
5.8 1.44
5.9 1.44
5.99999999999999 0.8
6.09999999999999 0
6.19999999999999 0
6.29999999999999 0
6.39999999999999 0
6.49999999999999 0
6.59999999999999 0
6.69999999999999 0
6.79999999999999 0
6.89999999999999 0
6.99999999999999 0
7.09999999999999 0
7.19999999999999 0
7.29999999999999 0
7.39999999999999 0
7.49999999999999 0
7.59999999999999 0
7.69999999999999 0
7.79999999999999 0
